Group,Filter,URL
CE Certification,Personal Protective Equipment (PPE) directive (89/686 EEC). Individual classification are found in each garment.,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=571868
CE Certification,EN 20471 - High visibility clothing,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10451
CE Certification,EN 11612 - Protective clothing against heat and flame,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10454
CE Certification,EN 14116 - Protective clothing against flame,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=319848
CE Certification,IEC 61482-2:2018 - Protective clothing against the thermal hazards of an electric arc ,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=592074
CE Certification,IEC 61482-2:2009 - Protective clothing against the thermal hazards of an electric arc,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=319543
CE Certification,EN 13034 - Protective clothing against liquid chemicals,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=319542
CE Certification,EN ISO 11611 - Protective clothing for use in welding and allied processes,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10453
CE Certification,EN 342 - Protective clothing against cold,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10456
CE Certification,EN 14404 - Knee protection,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10455
CE Certification,EN 388 - Protective gloves against mechanical risks,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10458
CE Certification,EN 1149-5  - Protective clothing electrostatic properties,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10452
CE Certification,EN 343 - Protective clothing against rain,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10457
CE Certification,EN 511 - Protective gloves against cold,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10459
CE Certification,EN 407 - Protective gloves against heat,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=10460
CE Certification,EN ISO 15797 - Industrial washing and finishing procedures for testing of workwear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=453&f%5B0%5D.ValueId=324687
Colour,Black,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393461
Colour,Khaki Green,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=656150
Colour,Blue,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393462
Colour,Brown,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393463
Colour,Green,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393464
Colour,Grey,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393465
Colour,High Visibility Orange,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393467
Colour,High Visibility Yellow,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393466
Colour,Khaki,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=739&f%5B0%5D.ValueId=393468
